condition,mean_student_input_tokens,mean_system_input_tokens,median_system_latency_s,p95_system_latency_s,n
Base-Instruct + 4-Shot,598.3333333333334,598.3333333333334,3.796144300999913,17.139772121999965,27
Base-Instruct + Prompt,371.3333333333333,371.3333333333333,7.43020939400003,18.236158510200028,27
Base-Thinking + Prompt,373.3333333333333,373.3333333333333,7.018509537999989,15.173626487600083,27
Full-Project,551.4444444444445,702.7407407407408,20.69136053000011,48.39886557079992,27
LoRA + Instruct-Review,559.3703703703703,682.7037037037037,17.537951478000195,43.70364214519996,27
LoRA-only,371.3333333333333,371.3333333333333,4.846378777000041,6.277416539200056,27
