condition,successes,n,audited_contract_pass_rate,audited_cvr,ci95_low,ci95_high
Base-Instruct + 4-Shot,13,27,0.48148148148148145,0.5185185185185186,0.3074322697621846,0.6601438424504771
Base-Instruct + Prompt,12,27,0.4444444444444444,0.5555555555555556,0.27585858177023004,0.6268697548677552
Base-Thinking + Prompt,16,27,0.5925925925925926,0.40740740740740744,0.4072670096806468,0.7548524292560443
Full-Project,27,27,1.0,0.0,0.8754449702581328,0.9999999999999998
LoRA + Instruct-Review,27,27,1.0,0.0,0.8754449702581328,0.9999999999999998
LoRA-only,23,27,0.8518518518518519,0.14814814814814814,0.6752131457218702,0.9408407222375568
