condition,cvr,contract_pass_rate,one_question_rate,language_compliance_rate,proof_substitution_proxy_rate,mean_style_contract_score,mean_input_tokens,mean_output_tokens,mean_system_input_tokens,mean_system_output_tokens,ttft_p50_s,ttft_p95_s,latency_p50_s,latency_p95_s,reviewer_activation_rate,n
Base-Instruct + 4-Shot,0.4,0.6,0.6,1.0,0.06,4.22,506.32,57.12,506.32,57.12,0.10205161949988906,0.10463413499994659,2.769822647000069,10.102828766650017,,50
Base-Instruct + Prompt,0.42,0.58,0.6,1.0,0.08,4.12,326.32,67.62,326.32,67.62,0.10192780999994966,0.10687591395002301,3.7782225489999632,10.524545201249984,,50
Base-Thinking + Prompt,0.44,0.56,0.56,1.0,0.06,4.0,328.32,2770.2,328.32,2770.2,0.3096175015,0.3493609353,16.700477992500055,24.66883493169994,,50
Full-Project,0.28,0.72,1.0,1.0,0.02,4.68,402.28,41.82,463.74,792.42,0.1701528994999535,43.51900075610019,6.2980538109995905,49.58542640535001,0.08,50
LoRA + Instruct-Review,0.28,0.72,1.0,1.0,0.02,4.68,407.6,41.7,455.96,54.32,0.1699188669999785,5.378397648399883,6.323356921500363,37.379938176749974,0.08,50
LoRA-only,0.26,0.74,0.94,1.0,0.02,4.7,326.32,37.14,326.32,37.14,0.15809489699995538,0.1625330471000666,4.626796597500061,6.958981708400108,,50
