condition,scenario_pass,valid_answer,one_question,no_complete_proof,mean_input_tokens,mean_output_tokens,mean_system_input_tokens,mean_system_output_tokens,mean_latency_s,median_system_latency_s,p95_system_latency_s,n,constraint_violation_rate
Base-Instruct + 4-Shot,0.48148148148148145,1.0,0.5185185185185185,1.0,598.3333333333334,89.29629629629629,598.3333333333334,89.29629629629629,6.39684498148146,3.796144300999913,17.139772121999965,27,0.5185185185185186
Base-Instruct + Prompt,0.37037037037037035,0.8888888888888888,0.4074074074074074,1.0,371.3333333333333,120.4074074074074,371.3333333333333,120.4074074074074,8.582800135111116,7.43020939400003,18.236158510200028,27,0.6296296296296297
Base-Thinking + Prompt,0.4444444444444444,1.0,0.6666666666666666,1.0,373.3333333333333,1240.9259259259259,373.3333333333333,1240.9259259259259,7.63211807888888,7.018509537999989,15.173626487600085,27,0.5555555555555556
Full-Project,0.7777777777777778,1.0,1.0,1.0,551.4444444444445,53.81481481481482,702.7407407407408,1420.851851851852,16.50628253529629,20.69136053000011,48.39886557079992,27,0.2222222222222222
LoRA + Instruct-Review,0.7777777777777778,1.0,1.0,1.0,559.3703703703703,52.48148148148148,682.7037037037037,80.18518518518519,17.384724823222214,17.537951478000195,43.70364214519995,27,0.2222222222222222
LoRA-only,0.7407407407407407,1.0,0.9259259259259259,1.0,371.3333333333333,37.96296296296296,371.3333333333333,37.96296296296296,4.959344563518529,4.846378777000041,6.277416539200056,27,0.2592592592592593
