condition,scenario_pass,valid_answer,one_question,no_leak,mean_input_tokens,mean_output_tokens,mean_latency_s,n,constraint_violation_rate
Base-Instruct + 4-Shot,0.1111111111111111,1.0,0.4444444444444444,0.3333333333333333,607.3333333333334,84.0,6.09917987277778,9,0.8888888888888888
Base-Instruct + Prompt,0.1111111111111111,1.0,0.2222222222222222,0.2222222222222222,380.3333333333333,115.88888888888889,8.431563336111108,9,0.8888888888888888
Base-Thinking + Prompt,0.2222222222222222,1.0,0.4444444444444444,0.4444444444444444,382.3333333333333,1233.0,15.677789161555577,9,0.7777777777777778
Full-Project,0.5555555555555556,1.0,1.0,0.8888888888888888,541.1111111111111,45.111111111111114,14.311980358111112,9,0.4444444444444444
LoRA-only,0.6666666666666666,1.0,0.8888888888888888,0.8888888888888888,380.3333333333333,40.22222222222222,5.310009566555562,9,0.33333333333333337
