blind_id,condition
AD-0239,Base-Thinking + Front Prompt
AD-0184,LoRA + Front Prompt
AD-0292,Base-Thinking + Front Prompt
AD-0298,Base-Thinking + Front Prompt
AD-0269,Base-Thinking + Front Prompt
AD-0058,Base-Instruct + Front Prompt
AD-0182,LoRA + Front Prompt
AD-0187,LoRA + Front Prompt
AD-0027,Base-Instruct + Front Prompt
AD-0176,LoRA + Front Prompt
AD-0112,Base-Instruct + Prompt Refresh
AD-0078,Base-Instruct + Prompt Refresh
AD-0295,Base-Thinking + Front Prompt
AD-0093,Base-Instruct + Prompt Refresh
AD-0086,Base-Instruct + Prompt Refresh
AD-0259,Base-Thinking + Front Prompt
AD-0159,LoRA + Front Prompt
AD-0287,Base-Thinking + Front Prompt
AD-0118,Base-Instruct + Prompt Refresh
AD-0263,Base-Thinking + Front Prompt
AD-0033,Base-Instruct + Front Prompt
AD-0261,Base-Thinking + Front Prompt
AD-0060,Base-Instruct + Front Prompt
AD-0203,LoRA + Front Prompt
AD-0076,Base-Instruct + Prompt Refresh
AD-0023,Base-Instruct + Front Prompt
AD-0294,Base-Thinking + Front Prompt
AD-0037,Base-Instruct + Front Prompt
AD-0104,Base-Instruct + Prompt Refresh
AD-0211,LoRA + Front Prompt
AD-0250,Base-Thinking + Front Prompt
AD-0177,LoRA + Front Prompt
AD-0124,Base-Instruct + Prompt Refresh
AD-0096,Base-Instruct + Prompt Refresh
AD-0136,Base-Instruct + Prompt Refresh
AD-0284,Base-Thinking + Front Prompt
AD-0158,LoRA + Front Prompt
AD-0267,Base-Thinking + Front Prompt
AD-0139,Base-Instruct + Prompt Refresh
AD-0025,Base-Instruct + Front Prompt
AD-0043,Base-Instruct + Front Prompt
AD-0074,Base-Instruct + Front Prompt
AD-0186,LoRA + Front Prompt
AD-0251,Base-Thinking + Front Prompt
AD-0095,Base-Instruct + Prompt Refresh
AD-0224,LoRA + Front Prompt
AD-0105,Base-Instruct + Prompt Refresh
AD-0038,Base-Instruct + Front Prompt
AD-0253,Base-Thinking + Front Prompt
AD-0114,Base-Instruct + Prompt Refresh
AD-0130,Base-Instruct + Prompt Refresh
AD-0054,Base-Instruct + Front Prompt
AD-0094,Base-Instruct + Prompt Refresh
AD-0175,LoRA + Front Prompt
AD-0117,Base-Instruct + Prompt Refresh
AD-0191,LoRA + Front Prompt
AD-0001,Base-Instruct + Front Prompt
AD-0205,LoRA + Front Prompt
AD-0039,Base-Instruct + Front Prompt
AD-0084,Base-Instruct + Prompt Refresh
AD-0165,LoRA + Front Prompt
AD-0230,Base-Thinking + Front Prompt
AD-0206,LoRA + Front Prompt
AD-0210,LoRA + Front Prompt
AD-0227,Base-Thinking + Front Prompt
AD-0190,LoRA + Front Prompt
AD-0174,LoRA + Front Prompt
AD-0152,LoRA + Front Prompt
AD-0215,LoRA + Front Prompt
AD-0241,Base-Thinking + Front Prompt
AD-0219,LoRA + Front Prompt
AD-0222,LoRA + Front Prompt
AD-0209,LoRA + Front Prompt
AD-0246,Base-Thinking + Front Prompt
AD-0036,Base-Instruct + Front Prompt
AD-0218,LoRA + Front Prompt
AD-0007,Base-Instruct + Front Prompt
AD-0005,Base-Instruct + Front Prompt
AD-0297,Base-Thinking + Front Prompt
AD-0047,Base-Instruct + Front Prompt
AD-0236,Base-Thinking + Front Prompt
AD-0046,Base-Instruct + Front Prompt
AD-0290,Base-Thinking + Front Prompt
AD-0217,LoRA + Front Prompt
AD-0275,Base-Thinking + Front Prompt
AD-0017,Base-Instruct + Front Prompt
AD-0022,Base-Instruct + Front Prompt
AD-0169,LoRA + Front Prompt
AD-0026,Base-Instruct + Front Prompt
AD-0091,Base-Instruct + Prompt Refresh
AD-0102,Base-Instruct + Prompt Refresh
AD-0300,Base-Thinking + Front Prompt
AD-0024,Base-Instruct + Front Prompt
AD-0121,Base-Instruct + Prompt Refresh
AD-0006,Base-Instruct + Front Prompt
AD-0238,Base-Thinking + Front Prompt
AD-0048,Base-Instruct + Front Prompt
AD-0077,Base-Instruct + Prompt Refresh
AD-0053,Base-Instruct + Front Prompt
AD-0200,LoRA + Front Prompt
AD-0107,Base-Instruct + Prompt Refresh
AD-0016,Base-Instruct + Front Prompt
AD-0279,Base-Thinking + Front Prompt
AD-0193,LoRA + Front Prompt
AD-0192,LoRA + Front Prompt
AD-0044,Base-Instruct + Front Prompt
AD-0240,Base-Thinking + Front Prompt
AD-0012,Base-Instruct + Front Prompt
AD-0128,Base-Instruct + Prompt Refresh
AD-0015,Base-Instruct + Front Prompt
AD-0281,Base-Thinking + Front Prompt
AD-0154,LoRA + Front Prompt
AD-0135,Base-Instruct + Prompt Refresh
AD-0296,Base-Thinking + Front Prompt
AD-0194,LoRA + Front Prompt
AD-0283,Base-Thinking + Front Prompt
AD-0029,Base-Instruct + Front Prompt
AD-0032,Base-Instruct + Front Prompt
AD-0004,Base-Instruct + Front Prompt
AD-0258,Base-Thinking + Front Prompt
AD-0293,Base-Thinking + Front Prompt
AD-0202,LoRA + Front Prompt
AD-0068,Base-Instruct + Front Prompt
AD-0040,Base-Instruct + Front Prompt
AD-0198,LoRA + Front Prompt
AD-0064,Base-Instruct + Front Prompt
AD-0065,Base-Instruct + Front Prompt
AD-0079,Base-Instruct + Prompt Refresh
AD-0057,Base-Instruct + Front Prompt
AD-0277,Base-Thinking + Front Prompt
AD-0212,LoRA + Front Prompt
AD-0183,LoRA + Front Prompt
AD-0110,Base-Instruct + Prompt Refresh
AD-0132,Base-Instruct + Prompt Refresh
AD-0214,LoRA + Front Prompt
AD-0213,LoRA + Front Prompt
AD-0148,Base-Instruct + Prompt Refresh
AD-0220,LoRA + Front Prompt
AD-0081,Base-Instruct + Prompt Refresh
AD-0028,Base-Instruct + Front Prompt
AD-0126,Base-Instruct + Prompt Refresh
AD-0223,LoRA + Front Prompt
AD-0225,LoRA + Front Prompt
AD-0049,Base-Instruct + Front Prompt
AD-0285,Base-Thinking + Front Prompt
AD-0163,LoRA + Front Prompt
AD-0113,Base-Instruct + Prompt Refresh
AD-0062,Base-Instruct + Front Prompt
